Tenure,WarehouseToHome,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,CashbackAmount_log,DaySinceLastOrder_log,NumberOfDeviceRegistered_log,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single,DevicesPerAddress,CashbackPerTenure
25.0,10.0,3,2,3,0,4.0,265.55,0,5.58556184326877,1.6094379124341003,1.3862943611198906,True,False,False,False,False,False,0.75,10.213461538461539
9.0,22.0,4,5,5,0,2.0,156.47,0,5.059234963932318,1.0986122886681096,1.6094379124341003,False,True,False,False,True,False,0.6666666666666666,15.647
8.0,8.0,4,1,11,0,2.0,179.84,0,5.197612662426405,1.0986122886681096,1.6094379124341003,False,True,False,False,True,False,0.3333333333333333,19.982222222222223
8.0,33.0,5,3,3,0,1.0,145.29,0,4.985590952989995,0.6931471805599453,1.791759469228055,False,False,True,False,True,False,1.25,16.14333333333333
0.0,14.0,4,4,2,0,3.0,123.68,0,4.825750454899136,1.3862943611198906,1.6094379124341003,False,False,True,False,True,False,1.3333333333333333,123.68
17.0,19.0,5,4,3,0,10.0,268.36,0,5.596048774852819,2.3978952727983707,1.791759469228055,True,False,False,False,True,False,1.25,14.908888888888889
8.0,26.0,5,1,3,0,8.0,154.29,0,5.045294336581097,2.1972245773362196,1.791759469228055,False,False,True,False,True,False,1.25,17.14333333333333
3.0,14.0,3,1,1,0,7.0,125.64,0,4.841348415572757,2.0794415416798357,1.3862943611198906,False,False,True,False,False,True,1.5,31.41
0.0,8.0,3,3,2,1,4.0,144.78,0,4.982098635954067,1.6094379124341003,1.3862943611198906,False,True,False,False,False,True,1.0,144.78
4.0,32.0,3,3,2,0,3.0,129.11,0,4.868380246515384,1.3862943611198906,1.3862943611198906,False,False,True,False,True,False,1.0,25.822000000000003
1.0,10.0,4,5,7,0,3.0,165.31,1,5.113853516682049,1.3862943611198906,1.6094379124341003,False,False,True,False,True,False,0.5,82.655
1.0,16.0,4,1,3,0,1.0,135.81,1,4.918593101932022,0.6931471805599453,1.6094379124341003,False,False,True,False,False,True,1.0,67.905
1.0,31.0,6,1,3,1,1.0,148.4,1,5.006627272698717,0.6931471805599453,1.9459101490553132,False,False,True,False,False,True,1.5,74.2
0.0,16.0,3,2,1,0,1.0,149.5,0,5.01396308418893,0.6931471805599453,1.3862943611198906,False,True,False,False,False,True,1.5,149.5
1.0,16.0,3,3,4,0,7.0,136.6,0,4.924350925499243,2.0794415416798357,1.3862943611198906,False,True,False,False,False,True,0.6,68.3
13.0,21.0,4,3,2,0,12.0,204.35,0,5.324715840402567,2.5649493574615367,1.6094379124341003,False,False,False,False,True,False,1.3333333333333333,14.596428571428572
5.0,12.0,4,3,3,0,3.0,208.46,0,5.344532790344999,1.3862943611198906,1.6094379124341003,False,True,False,False,True,False,1.0,34.74333333333333
1.0,11.0,4,5,3,0,1.0,154.73,1,5.048123738507247,0.6931471805599453,1.6094379124341003,False,False,True,False,False,True,1.0,77.365
0.0,14.0,3,3,2,0,3.0,125.17,0,4.83763020393965,1.3862943611198906,1.3862943611198906,False,False,True,False,True,False,1.0,125.17
15.0,13.0,4,3,3,0,47.0,217.41,0,5.386374030368319,3.8712010109078907,1.6094379124341003,False,False,False,False,False,True,1.0,13.588125
24.0,14.0,4,4,6,0,47.0,224.9,0,5.420092423473958,3.8712010109078907,1.6094379124341003,False,False,False,False,False,False,0.5714285714285714,8.996
8.0,16.0,5,4,3,0,47.0,211.21,0,5.357576350422958,3.8712010109078907,1.791759469228055,False,False,False,False,False,True,1.25,23.46777777777778
14.0,14.0,3,4,6,0,4.0,143.93,0,4.976250867234425,1.6094379124341003,1.3862943611198906,False,True,False,False,True,False,0.42857142857142855,9.595333333333334
5.0,15.0,5,1,1,0,7.0,146.68,0,4.995047770754542,2.0794415416798357,1.791759469228055,False,True,False,False,True,False,2.5,24.44666666666667
9.0,11.0,4,3,3,1,2.0,167.49,0,5.126876400850294,1.0986122886681096,1.6094379124341003,False,True,False,False,False,True,1.0,16.749000000000002
1.0,31.0,4,2,2,0,2.0,149.0,0,5.0106352940962555,1.0986122886681096,1.6094379124341003,False,False,True,False,False,False,1.3333333333333333,74.5
0.0,6.0,3,4,1,1,4.0,163.49,0,5.1028497780840665,1.6094379124341003,1.3862943611198906,False,True,False,False,False,False,1.5,163.49
7.0,8.0,3,5,1,1,2.0,145.38,0,4.986205980173081,1.0986122886681096,1.3862943611198906,False,True,False,False,False,True,1.5,18.1725
6.0,12.0,4,4,3,0,4.0,190.24,0,5.253529183757903,1.6094379124341003,1.6094379124341003,False,True,False,False,True,False,1.0,27.177142857142858
1.0,10.0,4,1,3,1,1.0,140.69,1,4.953641572576135,0.6931471805599453,1.6094379124341003,False,False,True,False,False,True,1.0,70.345
9.0,18.0,4,2,1,0,8.0,188.58,0,5.244811099024895,2.1972245773362196,1.6094379124341003,False,False,False,False,False,True,2.0,18.858
8.0,11.0,4,1,4,1,47.0,222.13,0,5.407754561246412,3.8712010109078907,1.6094379124341003,False,False,False,False,True,False,0.8,24.68111111111111
9.0,6.0,3,1,4,0,2.0,122.7,0,4.8178592793984425,1.0986122886681096,1.3862943611198906,False,False,True,False,True,False,0.6,12.27
11.0,22.0,3,4,3,0,2.0,141.98,0,4.962704760338705,1.0986122886681096,1.3862943611198906,False,True,False,False,False,True,0.75,11.831666666666665
4.0,10.0,4,1,6,0,5.0,145.97,0,4.990228484318593,1.791759469228055,1.6094379124341003,False,False,True,False,True,False,0.5714285714285714,29.194
25.0,10.0,4,4,5,0,1.0,262.34,0,5.573445972928197,0.6931471805599453,1.6094379124341003,True,False,False,False,False,True,0.6666666666666666,10.09
2.0,19.0,4,4,5,1,3.0,140.25,0,4.9505313700265505,1.3862943611198906,1.6094379124341003,False,True,False,False,True,False,0.6666666666666666,46.75
30.0,6.0,3,2,4,1,47.0,219.04,0,5.393809348007258,3.8712010109078907,1.3862943611198906,False,False,False,False,False,False,0.6,7.065806451612903
18.0,10.0,5,3,5,0,3.0,197.56,0,5.291091321456297,1.3862943611198906,1.791759469228055,False,False,False,False,True,False,0.8333333333333334,10.397894736842105
19.0,32.0,4,4,9,0,2.0,179.91,0,5.19799967003317,1.0986122886681096,1.6094379124341003,False,True,False,False,False,True,0.4,8.9955
9.0,15.0,3,1,4,0,3.0,120.75,0,4.801969761962699,1.3862943611198906,1.3862943611198906,False,False,True,False,True,False,0.6,12.075
8.0,23.0,3,5,4,1,7.0,189.66,0,5.250491737065432,2.0794415416798357,1.3862943611198906,False,True,False,False,True,False,0.6,21.073333333333334
0.0,30.0,1,5,2,0,0.0,110.91,1,4.717694976829936,0.0,0.6931471805599453,False,False,True,False,False,True,0.3333333333333333,110.91
8.0,32.0,3,1,2,1,7.0,188.37,0,5.243702773274814,2.0794415416798357,1.3862943611198906,False,False,False,False,False,True,1.0,20.93
4.0,15.0,2,5,2,1,8.0,239.16000000000005,0,5.481305367885152,2.1972245773362196,1.0986122886681096,False,False,False,False,True,False,0.6666666666666666,47.83200000000001
0.0,35.0,4,3,2,0,8.0,145.08,1,4.984154416846659,2.1972245773362196,1.6094379124341003,False,True,False,False,False,True,1.3333333333333333,145.08
2.0,23.0,4,5,2,0,9.0,179.88,0,5.197833827969714,2.302585092994046,1.6094379124341003,False,False,False,False,False,True,1.3333333333333333,59.96
4.0,8.0,5,1,5,1,0.0,127.78,1,4.858105522110037,0.0,1.791759469228055,False,False,True,False,True,False,0.8333333333333334,25.556
19.0,21.0,3,4,6,0,3.0,290.81,0,5.676102905549459,1.3862943611198906,1.3862943611198906,False,False,False,True,True,False,0.42857142857142855,14.5405
19.0,14.0,3,3,9,0,8.0,123.39,1,4.8234217912218735,2.1972245773362196,1.3862943611198906,False,False,True,False,True,False,0.3,6.1695
14.0,7.0,6,1,4,1,3.0,199.57,0,5.301163312997955,1.3862943611198906,1.9459101490553132,False,True,False,False,True,False,1.2,13.304666666666666
15.0,9.0,4,5,9,0,9.0,290.95,0,5.6765825547295465,2.302585092994046,1.6094379124341003,True,False,False,False,False,False,0.4,18.184375
5.0,11.0,3,4,2,0,3.0,165.24,0,5.113432527350917,1.3862943611198906,1.3862943611198906,False,True,False,False,True,False,1.0,27.540000000000003
1.0,14.0,2,5,2,0,8.0,160.78,0,5.086237387589806,2.1972245773362196,1.0986122886681096,False,False,True,False,False,True,0.6666666666666666,80.39
8.0,14.0,3,3,2,0,0.0,124.04,0,4.828633686113221,0.0,1.3862943611198906,False,False,True,False,True,False,1.0,13.782222222222224
21.0,11.0,4,3,5,0,1.0,154.76,0,5.048316361063944,0.6931471805599453,1.6094379124341003,False,True,False,False,False,True,0.6666666666666666,7.034545454545454
1.0,7.0,5,3,8,1,3.0,153.0,1,5.0369526024136295,1.3862943611198906,1.791759469228055,False,False,True,False,True,False,0.5555555555555556,76.5
24.0,12.0,4,3,1,0,7.0,128.38,0,4.862753810615839,2.0794415416798357,1.6094379124341003,False,False,True,False,False,True,2.0,5.1352
14.0,16.0,3,1,8,0,10.0,162.3,0,5.095588999976419,2.3978952727983707,1.3862943611198906,False,True,False,False,False,True,0.3333333333333333,10.82
13.0,14.0,3,1,9,0,0.0,124.06,0,4.828793622139152,0.0,1.3862943611198906,False,False,True,False,True,False,0.3,8.861428571428572
0.0,10.0,3,3,2,1,3.0,141.62,0,4.960183750600158,1.3862943611198906,1.3862943611198906,False,True,False,False,False,False,1.0,141.62
21.0,10.0,4,3,11,1,14.0,262.7,0,5.574812093359241,2.70805020110221,1.6094379124341003,True,False,False,False,True,False,0.3333333333333333,11.94090909090909
29.0,9.0,5,1,10,0,5.0,151.62,0,5.0279511718614875,1.791759469228055,1.791759469228055,False,False,True,False,True,False,0.45454545454545453,5.054
7.0,14.0,3,5,4,0,0.0,151.21,0,5.025261146291576,0.0,1.3862943611198906,False,True,False,False,True,False,0.6,18.90125
14.0,15.0,4,5,4,1,1.0,190.16,0,5.253110773709958,0.6931471805599453,1.6094379124341003,False,True,False,False,True,False,0.8,12.677333333333333
5.0,9.0,6,1,6,1,1.0,152.78,1,5.035523009604034,0.6931471805599453,1.9459101490553132,False,False,True,False,True,False,0.8571428571428571,25.463333333333335
5.0,14.0,5,3,5,0,3.0,148.29,0,5.005890723065499,1.3862943611198906,1.791759469228055,False,False,True,False,True,False,0.8333333333333334,24.715
2.0,15.0,5,2,3,0,5.0,174.36,0,5.166841003759651,1.791759469228055,1.791759469228055,False,False,True,False,True,False,1.25,58.120000000000005
3.0,7.0,6,2,3,0,9.0,152.2,0,5.0317442573064906,2.302585092994046,1.9459101490553132,False,False,True,False,True,False,1.5,38.05
0.0,12.0,3,1,2,1,2.0,56.0,0,4.04305126783455,1.0986122886681096,1.3862943611198906,False,False,True,False,True,False,1.0,56.0
11.0,20.0,3,4,1,0,7.0,199.24,0,5.299516647123519,2.0794415416798357,1.3862943611198906,False,True,False,False,True,False,1.5,16.603333333333335
6.0,6.0,1,3,5,0,5.0,261.84,0,5.571545482029667,1.791759469228055,0.6931471805599453,True,False,False,False,True,False,0.16666666666666666,37.40571428571428
2.0,15.0,5,1,3,0,5.0,174.36,0,5.166841003759651,1.791759469228055,1.791759469228055,False,False,True,False,True,False,1.25,58.120000000000005
1.0,9.0,4,4,6,0,3.0,146.87,0,4.996333509385396,1.3862943611198906,1.6094379124341003,False,False,True,False,True,False,0.5714285714285714,73.435
14.0,15.0,3,3,4,1,7.0,181.89,0,5.208884879216484,2.0794415416798357,1.3862943611198906,False,False,False,False,True,False,0.6,12.126
1.0,10.0,4,1,3,1,1.0,140.69,1,4.953641572576135,0.6931471805599453,1.6094379124341003,False,False,True,False,False,True,1.0,70.345
3.0,11.0,4,2,10,0,3.0,137.61,0,4.931664234225262,1.3862943611198906,1.6094379124341003,False,False,True,False,True,False,0.36363636363636365,34.4025
26.0,9.0,5,2,9,0,3.0,157.12,0,5.063354238428484,1.3862943611198906,1.791759469228055,False,False,True,False,False,True,0.5,5.819259259259259
1.0,20.0,5,5,7,1,3.0,186.34,1,5.232925147780985,1.3862943611198906,1.791759469228055,False,True,False,False,True,False,0.625,93.17
5.0,16.0,3,1,9,0,0.0,146.48,0,4.993692573365943,0.0,1.3862943611198906,False,True,False,False,False,True,0.3,24.41333333333333
13.0,14.0,3,5,3,1,0.0,165.16,0,5.112951179567856,0.0,1.3862943611198906,False,True,False,False,True,False,0.75,11.797142857142857
4.0,8.0,3,2,5,1,5.0,165.82,0,5.116915386813465,1.791759469228055,1.3862943611198906,False,True,False,False,False,True,0.5,33.164
0.0,14.0,3,2,1,0,1.0,124.0,0,4.8283137373023015,0.6931471805599453,1.3862943611198906,False,False,True,False,False,False,1.5,124.0
1.0,32.0,5,4,6,1,3.0,148.13,1,5.004818408774691,1.3862943611198906,1.791759469228055,False,False,True,False,False,True,0.7142857142857143,74.065
30.0,11.0,4,5,6,0,3.0,324.43,0,5.785147384757806,1.3862943611198906,1.6094379124341003,False,False,False,True,True,False,0.5714285714285714,10.465483870967741
0.0,26.0,5,3,4,1,2.0,145.59,1,4.98763957430194,1.0986122886681096,1.791759469228055,False,True,False,False,False,False,1.0,145.59
9.0,8.0,4,3,7,1,0.0,120.9,1,4.803201036487226,0.0,1.6094379124341003,False,False,True,False,False,True,0.5,12.09
17.0,11.0,5,2,5,0,47.0,227.31,0,5.430704354591362,3.8712010109078907,1.791759469228055,False,False,False,False,False,True,0.8333333333333334,12.628333333333334
26.0,15.0,4,5,11,0,5.0,154.5,0,5.0466457316192885,1.791759469228055,1.6094379124341003,False,False,True,False,False,False,0.3333333333333333,5.722222222222222
5.0,25.0,1,3,7,1,2.0,127.59,1,4.856629048282348,1.0986122886681096,0.6931471805599453,False,False,True,False,True,False,0.125,21.265
0.0,14.0,4,3,2,0,2.0,125.39,0,4.8393723646590345,1.0986122886681096,1.6094379124341003,False,False,True,False,False,False,1.3333333333333333,125.39
19.0,6.0,3,5,2,0,7.0,204.53,0,5.325592008682918,2.0794415416798357,1.3862943611198906,False,False,False,False,True,False,1.0,10.2265
8.0,14.0,4,5,2,0,2.0,124.5,0,4.832305758571839,1.0986122886681096,1.6094379124341003,False,False,True,False,False,True,1.3333333333333333,13.833333333333334
9.0,12.0,3,3,3,1,5.0,123.06,0,4.820765319544972,1.791759469228055,1.3862943611198906,False,True,False,False,True,False,0.75,12.306000000000001
9.0,9.0,3,1,2,0,0.0,117.06,0,4.771192969812543,0.0,1.3862943611198906,False,False,True,False,True,False,1.0,11.706
1.0,20.0,5,5,6,1,1.0,148.35,1,5.006292544662119,0.6931471805599453,1.791759469228055,False,False,True,False,True,False,0.7142857142857143,74.175
9.0,13.0,3,2,3,0,1.0,146.78,0,4.995724681360501,0.6931471805599453,1.3862943611198906,False,False,True,False,False,True,0.75,14.678
1.0,10.0,4,3,3,0,8.0,165.84,1,5.117035269328745,2.1972245773362196,1.6094379124341003,False,False,True,False,False,True,1.0,82.92
8.0,11.0,4,3,11,0,3.0,190.38,0,5.254260980351117,1.3862943611198906,1.6094379124341003,False,True,False,False,False,False,0.3333333333333333,21.153333333333332
26.0,7.0,4,3,5,1,47.0,229.65,0,5.440901410003829,3.8712010109078907,1.6094379124341003,True,False,False,False,True,False,0.6666666666666666,8.505555555555556
2.0,16.0,4,3,7,0,3.0,148.77,0,5.009100784004304,1.3862943611198906,1.6094379124341003,False,False,True,False,True,False,0.5,49.59
9.0,22.0,3,3,2,0,4.0,121.44,0,4.807621114077212,1.6094379124341003,1.3862943611198906,False,False,True,False,False,True,1.0,12.144
4.0,14.0,4,3,3,0,10.0,159.91,0,5.080845202471059,2.3978952727983707,1.6094379124341003,False,True,False,False,True,False,1.0,31.982
16.0,30.0,4,2,4,0,1.0,284.92,0,5.655712051411118,0.6931471805599453,1.6094379124341003,True,False,False,False,False,True,0.8,16.76
1.0,12.0,4,4,3,1,3.0,149.78,0,5.015821820783556,1.3862943611198906,1.6094379124341003,False,False,True,False,False,True,1.0,74.89
9.0,23.0,4,3,6,1,1.0,201.32,0,5.30985060236171,0.6931471805599453,1.6094379124341003,False,False,False,False,True,False,0.5714285714285714,20.131999999999998
2.0,26.0,3,1,2,0,10.0,138.12,0,4.935336870046028,2.3978952727983707,1.3862943611198906,False,False,True,False,True,False,1.0,46.04
10.0,14.0,3,4,3,0,7.0,140.71,0,4.9537827158367795,2.0794415416798357,1.3862943611198906,False,True,False,False,True,False,0.75,12.791818181818183
1.0,14.0,5,3,4,0,1.0,186.32,0,5.232818384315341,0.6931471805599453,1.791759469228055,False,True,False,False,False,False,1.0,93.16
23.0,14.0,3,1,5,0,0.0,123.8,0,4.826712455935327,0.0,1.3862943611198906,False,False,True,False,True,False,0.5,5.158333333333333
21.0,9.0,2,4,8,0,3.0,284.72,0,5.6550123102867715,1.3862943611198906,1.0986122886681096,True,False,False,False,True,False,0.2222222222222222,12.941818181818183
26.0,13.0,4,1,8,1,47.0,209.34,0,5.348725269091882,3.8712010109078907,1.6094379124341003,False,False,False,False,True,False,0.4444444444444444,7.753333333333334
11.0,16.0,3,3,4,0,2.0,160.77,0,5.0861755733416025,1.0986122886681096,1.3862943611198906,False,True,False,False,True,False,0.6,13.3975
31.0,10.0,5,1,7,0,6.0,176.71,0,5.180153008197395,1.9459101490553132,1.791759469228055,False,True,False,False,False,True,0.625,5.5221875
14.0,12.0,5,5,7,1,47.0,229.75,0,5.441334873382962,3.8712010109078907,1.791759469228055,False,False,False,False,False,False,0.625,15.316666666666666
4.0,11.0,3,5,1,0,7.0,199.36,0,5.300115748489416,2.0794415416798357,1.3862943611198906,False,True,False,False,False,True,1.5,39.872
17.0,34.0,3,5,4,0,17.0,263.28,0,5.577009147161685,2.8903717578961645,1.3862943611198906,True,False,False,False,False,False,0.6,14.626666666666665
7.0,10.0,3,3,10,0,2.0,165.38,0,5.114274328855742,1.0986122886681096,1.3862943611198906,False,True,False,False,True,False,0.2727272727272727,20.6725
20.0,8.0,3,4,8,1,8.0,292.46,1,5.681741343779321,2.1972245773362196,1.3862943611198906,False,False,False,True,False,True,0.3333333333333333,13.926666666666666
8.0,29.0,5,1,3,1,12.0,182.47,0,5.212051166390628,2.5649493574615367,1.791759469228055,False,True,False,False,True,False,1.25,20.274444444444445
1.0,16.0,6,4,3,0,3.0,152.6,1,5.034351820713572,1.3862943611198906,1.9459101490553132,False,False,True,False,False,True,1.5,76.3
17.0,31.0,4,5,8,1,47.0,229.48,1,5.440164090776273,3.8712010109078907,1.6094379124341003,False,False,False,False,False,True,0.4444444444444444,12.748888888888889
27.0,13.0,4,3,4,1,6.0,148.06,0,5.004348909453547,1.9459101490553132,1.6094379124341003,False,True,False,False,False,False,0.8,5.287857142857143
16.0,7.0,5,2,11,1,3.0,185.62,0,5.229074463805876,1.3862943611198906,1.791759469228055,False,True,False,False,False,False,0.4166666666666667,10.918823529411766
16.0,9.0,4,1,3,0,3.0,165.89,0,5.117334912755312,1.3862943611198906,1.6094379124341003,False,True,False,False,True,False,1.0,9.758235294117647
9.0,13.0,3,3,2,0,0.0,112.74,0,4.733915141878653,0.0,1.3862943611198906,False,False,True,False,True,False,1.0,11.274
10.0,33.0,4,3,8,0,3.0,178.47,0,5.190008063041185,1.3862943611198906,1.6094379124341003,False,True,False,False,True,False,0.4444444444444444,16.224545454545453
